2305904,130,3.6030964109781842,2.0,2.0,2.0,2.0,2.0,5,3.5,3.5,3.5,3.5,3.5,2.0,2
662124,429,3.6030964109781842,2,2,2.6666666666666665,2.6666666666666665,2.6666666666666665,5,4,5,3,3,3.7333333333333334,2.6666666666666665,4
1364103,429,3.6030964109781842,2,4,2.6666666666666665,2.6666666666666665,2.6666666666666665,2,5,5,1,4,3.1,2.6666666666666665,2
2475820,429,3.6030964109781842,4,2,2.6666666666666665,2.6666666666666665,2.6666666666666665,3,4,4,4,4,3.55,2.6666666666666665,2
857031,917,3.6030964109781842,5.0,5.0,5.0,5.0,5.0,3,4,4.0,4.0,4.0,4.0,5.0,5
231192,1104,3.6030964109781842,3,4,2,5,4,2,2.5,2.5,2.5,2.5,2.5,3.125,3
593268,1104,3.6030964109781842,4,3,3,4,2,4,4,3,3.5,3.5,3.5,3.125,3
662124,1104,3.6030964109781842,3,4,4,3,2,5,3,4,5,4,3.7333333333333334,3.125,4
678384,1104,3.6030964109781842,3,3,4,3,4,4,4,2,4,2,3.1818181818181817,3.125,4
713349,1104,3.6030964109781842,2,2,3,3,4,3,4,5,5,3.6,3.6,3.125,1
753567,1104,3.6030964109781842,4,4,3,4,5,4,4,3,3,3,3.2857142857142856,3.125,3
1000634,1104,3.6030964109781842,5,3,4,2,3,3,4,5,5,4,3.75,3.125,4
1376266,1104,3.6030964109781842,2,3,1,5,4,1,5,2,2,3,2.7142857142857144,3.125,2
2206364,1104,3.6030964109781842,4,3,4,3,2,5,4,5,4,5,4.5,3.125,5
2307388,1104,3.6030964109781842,4,4,2,1,3,4,5,4,5,4,4.142857142857143,3.125,3
2398656,1104,3.6030964109781842,4,4,1,4,4,3,3,4,3,4,3.1538461538461537,3.125,3
2404949,1104,3.6030964109781842,3,3,2,4,3,4,5,4,5,5,4.571428571428571,3.125,4
2415495,1104,3.6030964109781842,2,4,3,1,4,3,3,5,4,4,3.8,3.125,4
2431452,1104,3.6030964109781842,1,4,3,2,4,3,3,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.125,2
2475820,1104,3.6030964109781842,5,4,4,4,4,4,4,2,2,4,3.55,3.125,3
2535601,1104,3.6030964109781842,1,4,4,3,3,3,4,1,3,5,3.142857142857143,3.125,2
127238,1229,3.6030964109781842,2.0,2.0,2.0,2.0,2.0,3,2,4,4,3.0,3.0,2.0,2
1058639,1460,3.6030964109781842,4,4,4.0,4.0,4.0,4,4,2,3,5,3.8,4.0,4
1218201,1460,3.6030964109781842,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
2344683,1460,3.6030964109781842,4,4,4.0,4.0,4.0,4,5,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,4.0,4
33612,1971,3.6030964109781842,4,3,3,3,4,3,3,4,5,2,3.0,2.8823529411764706,1
43591,1971,3.6030964109781842,4,1,3,2,3,3,4,5,5,5,4.166666666666667,2.8823529411764706,3
189623,1971,3.6030964109781842,1,3,2,4,3,4,4,4,5,3,4.0,2.8823529411764706,4
383404,1971,3.6030964109781842,4,4,1,4,3,1,1,3,2,3,2.5384615384615383,2.8823529411764706,3
438491,1971,3.6030964109781842,4,2,3,4,4,5,3,5,5,5,4.125,2.8823529411764706,4
662124,1971,3.6030964109781842,4,2,3,1,2,5,5,5,3,4,3.7333333333333334,2.8823529411764706,3
678384,1971,3.6030964109781842,4,3,4,3,1,4,4,2,3,4,3.1818181818181817,2.8823529411764706,2
690331,1971,3.6030964109781842,1,4,3,4,4,3,3,5,4,4,3.625,2.8823529411764706,3
737516,1971,3.6030964109781842,1,3,3,4,4,3,3.5,3.5,3.5,3.5,3.5,2.8823529411764706,4
753567,1971,3.6030964109781842,3,3,4,2,4,4,4,3,3,3,3.2857142857142856,2.8823529411764706,3
1058639,1971,3.6030964109781842,4,4,3,3,1,4,4,3,4,4,3.8,2.8823529411764706,4
1062351,1971,3.6030964109781842,4,1,3,3,3,4,4,4,5,2,3.75,2.8823529411764706,2
1116987,1971,3.6030964109781842,4,4,3,1,4,4,5,4,3,5,4.333333333333333,2.8823529411764706,4
